SUMLEV,REGION,DIVISION,STATE,NAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,POPESTIMATE2025,NPOPCHG_2020,NPOPCHG_2021,NPOPCHG_2022,NPOPCHG_2023,NPOPCHG_2024,NPOPCHG_2025,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,BIRTHS2024,BIRTHS2025,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,DEATHS2024,DEATHS2025,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,NATURALCHG2024,NATURALCHG2025,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,INTERNATIONALMIG2024,INTERNATIONALMIG2025,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,DOMESTICMIG2024,DOMESTICMIG2025,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,NETMIG2024,NETMIG2025,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RESIDUAL2024,RESIDUAL2025,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,GQESTIMATES2023,GQESTIMATES2024,GQESTIMATES2025,RBIRTH2021,RBIRTH2022,RBIRTH2023,RBIRTH2024,RBIRTH2025,RDEATH2021,RDEATH2022,RDEATH2023,RDEATH2024,RDEATH2025,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RNATURALCHG2024,RNATURALCHG2025,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RINTERNATIONALMIG2024,RINTERNATIONALMIG2025,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RDOMESTICMIG2024,RDOMESTICMIG2025,RNETMIG2021,RNETMIG2022,RNETMIG2023,RNETMIG2024,RNETMIG2025
040,2,4,27,Minnesota,5706733,5710562,5714055,5727565,5752998,5797405,5830405,3829,3493,13510,25433,44407,33000,16435,62936,64525,62997,61344,62576,12761,51365,53415,49962,49730,50505,3674,11571,11110,13035,11614,12071,295,5523,20302,24846,33360,12486,-1445,-14970,-17106,-11777,-204,8300,-1150,-9447,3196,13069,33156,20786,1305,1369,-796,-671,-363,143,138575,138609,133187,140251,141192,142780,142689,11.01761223,11.27899721,10.9745489,10.62196704,10.76316177,8.99198634,9.336964521,8.703754337,8.61095496,8.686932449,2.025625892,1.942032684,2.27079456,2.011012083,2.076229316,0.966859546,3.54879816,4.328359158,5.776421827,2.147609911,-2.62065678,-2.990136012,-2.051641544,-0.035323443,1.427611906,-1.653797235,0.558662148,2.276717614,5.741098384,3.575221817
040,3,6,28,Mississippi,2961264,2958385,2947603,2941237,2942470,2950172,2954160,-2879,-10782,-6366,1233,7702,3988,8509,35080,34994,35099,33926,33168,9674,41695,40681,35712,35909,35775,-1165,-6615,-5687,-613,-1983,-2607,61,633,5945,5371,14743,7451,-2102,-5392,-6015,-3356,-5106,-917,-2041,-4759,-70,2015,9637,6534,327,592,-609,-169,48,61,93662,93572,90196,90825,90721,87448,87499,11.87946877,11.88485338,11.93091362,11.51469918,11.23514057,14.11956814,13.81630338,12.13928566,12.18774193,12.11822099,-2.24009937,-1.931449997,-0.208372035,-0.673042754,-0.883080423,0.214358715,2.019073366,1.825719738,5.003867535,2.523909563,-1.825943432,-2.042847148,-1.140777404,-1.733008725,-0.310619389,-1.611584717,-0.023773782,0.684942333,3.27085881,2.213290174
040,2,4,29,Missouri,6154913,6155074,6172551,6179285,6205956,6243544,6270541,161,17477,6734,26671,37588,26997,17212,68744,68867,68355,67693,68377,16738,75371,75703,68565,66472,68200,474,-6627,-6836,-210,1221,177,271,3860,11263,17573,24076,12665,-783,17735,3624,9682,12385,14028,-512,21595,14887,27255,36461,26693,199,2509,-1317,-374,-94,127,168991,165294,164830,163723,162928,163748,164317,11.15283763,11.15089287,11.03813806,10.87481425,10.92800632,12.2279839,12.25777285,11.07204939,10.67866179,10.8997182,-1.075146267,-1.106879981,-0.03391133,0.196152456,0.028288125,0.626235792,1.823696493,2.837732427,3.867785855,2.024119223,2.877277659,0.586795356,1.563473815,1.989638138,2.241953767,3.503513451,2.410491849,4.401206242,5.857423993,4.266072989
040,4,8,30,Montana,1084221,1087156,1106416,1121533,1130612,1137557,1144694,2935,19260,15117,9079,6945,7137,2824,10851,11210,11027,11294,11348,2535,12271,12991,11433,11517,11438,289,-1420,-1781,-406,-223,-90,42,712,798,412,1929,899,2715,20693,15474,9017,5263,6348,2757,21405,16272,9429,7192,7247,-111,-725,626,56,-24,-20,29285,29261,29271,29239,29265,29332,29282,9.893452323,10.06306697,9.792442316,9.958693554,9.944567885,11.18814427,11.66184684,10.15298749,10.15532793,10.02343739,-1.294691945,-1.598779864,-0.360545169,-0.196634378,-0.078869502,0.649169483,0.71635392,0.365873423,1.700931456,0.787818693,18.86694396,13.89080271,8.007477316,4.640747669,5.56292888,19.51611344,14.60715663,8.373350739,6.341679125,6.350747573
040,2,4,31,Nebraska,1961980,1963318,1964697,1972595,1988172,2005591,2018006,1338,1379,7898,15577,17419,12415,6056,24399,24223,24579,24446,24396,4464,19547,19432,18435,18438,18260,1592,4852,4791,6144,6008,6136,97,1581,8356,10738,13082,6599,-762,-5817,-4533,-1074,-1540,-366,-665,-4236,3823,9664,11542,6233,411,763,-716,-231,-131,46,49964,49965,46334,46832,47451,47912,47651,12.42306865,12.30439602,12.41123247,12.24208848,12.12646296,9.952609651,9.870743648,9.308803068,9.233397175,9.076455719,2.470458998,2.433652368,3.102429403,3.008691302,3.050007245,0.804986743,4.24454168,5.422182118,6.551214982,3.280149578,-2.961801317,-2.302597826,-0.542319202,-0.771202497,-0.181926769,-2.156814574,1.941943854,4.879862915,5.780012485,3.098222809
040,4,8,32,Nevada,3105593,3116851,3148472,3177672,3211077,3253543,3282188,11258,31621,29200,33405,42466,28645,8153,33340,33523,32747,31894,32511,6990,32360,33461,29391,29163,29460,1163,980,62,3356,2731,3051,137,3613,9198,22304,23171,10551,10328,26050,20116,8165,16473,14914,10465,29663,29314,30469,39644,25465,-370,978,-176,-420,91,129,37936,37590,36207,35701,36020,36254,36237,10.64270749,10.5982412,10.25145925,9.867246644,9.948695869,10.32987445,10.57864001,9.200862328,9.02234006,9.015058912,0.312833034,0.019601198,1.050596917,0.844906584,0.933636957,1.153332398,2.907932542,6.982274621,7.168557471,3.228713054,8.315612779,6.359640249,2.556055967,5.096355238,4.563835323,9.468945177,9.26757279,9.538330587,12.26491271,7.792548378
040,1,1,33,New Hampshire,1377573,1378752,1387907,1396647,1401530,1408518,1415342,1179,9155,8740,4883,6988,6824,2993,12067,12328,12098,11794,11911,3492,13729,14712,14334,14214,14078,-499,-1662,-2384,-2236,-2420,-2167,88,1542,1395,2847,4028,2403,1285,8626,9899,4458,5425,6554,1373,10168,11294,7305,9453,8957,305,649,-170,-186,-45,34,42766,42774,37227,41539,41990,42727,42669,8.723156703,8.854559833,8.647058424,8.394162662,8.435970622,9.924605815,10.56686277,10.24524181,10.11655317,9.970749258,-1.201449112,-1.71230294,-1.598183389,-1.722390507,-1.534778636,1.114701884,1.001955789,2.034896291,2.866854943,1.701925733,6.23567993,7.109935738,3.186360262,3.861144009,4.641873181,7.350381814,8.111891527,5.221256554,6.727998952,6.343798914
040,1,2,34,New Jersey,9289024,9270476,9266509,9298402,9395315,9506354,9548215,-18548,-3967,31893,96913,111039,41861,24693,97972,102595,102445,101187,100999,34022,84115,82755,77211,75593,74976,-9329,13857,19840,25234,25594,26023,903,14747,76031,114014,121069,53064,-11063,-34314,-62174,-41714,-35501,-37428,-10160,-19567,13857,72300,85568,15636,941,1743,-1804,-621,-123,202,180393,178537,165010,168185,173660,174621,175831,10.57043527,11.05257117,10.96036706,10.70667358,10.60102698,9.075370132,8.91520568,8.260636448,7.998552932,7.869608596,1.495065136,2.137365485,2.69973061,2.708120643,2.731418381,1.591089382,8.190828386,12.19810913,12.81040315,5.569687774,-3.702220183,-6.69801218,-4.462889858,-3.756387862,-3.928506596,-2.111130801,1.492816206,7.735219272,9.054015283,1.641181178
040,4,8,35,New Mexico,2117492,2118446,2117300,2112859,2119349,2126774,2125498,954,-1146,-4441,6490,7425,-1276,5331,21417,21427,21582,20942,20235,5559,24722,25472,22367,22167,22120,-228,-3305,-4045,-785,-1225,-1885,159,2260,4826,9044,10577,2879,718,-978,-4615,-1524,-1874,-2267,877,1282,211,7520,8703,612,305,877,-607,-245,-53,-3,42834,42800,42878,42997,43093,43139,43078,10.11250439,10.13058847,10.19893162,9.864057165,9.517265123,11.67303233,12.04304614,10.56989638,10.44105411,10.40384999,-1.560527945,-1.912457664,-0.370964754,-0.576996945,-0.886584866,1.067108368,2.281710924,4.27389202,4.981956481,1.354099644,-0.461784064,-2.18195108,-0.720191446,-0.882687572,-1.066253523,0.605324304,0.099759844,3.553700574,4.09926891,0.287846121
040,1,2,36,New York,20203696,20122262,19835345,19713025,19786543,20001419,20002427,-81434,-286917,-122320,73518,214876,1008,53088,205539,209944,205879,205405,203078,72825,177237,176586,166689,161811,160263,-19737,28302,33358,39190,43594,42815,1341,28772,121570,211383,290637,95634,-60244,-326190,-284910,-177852,-119231,-137586,-58903,-297418,-163340,33531,171406,-41952,-2794,-17801,7662,797,-124,145,611265,593360,586828,607715,659422,682207,663508,10.28785332,10.61707474,10.42436717,10.32498221,10.1529238,8.871251975,8.930127841,8.440041673,8.133666158,8.01237961,1.41660135,1.686946896,1.9843255,2.191316057,2.140544187,1.440126282,6.147914566,10.70305377,14.60929313,4.781240284,-16.32680355,-14.40817915,-9.005263045,-5.993320291,-6.878638619,-14.88667727,-8.260264582,1.69779072,8.615972841,-2.097398335
040,3,5,37,North Carolina,10441392,10450215,10565503,10705768,10871849,11052061,11197968,8823,115288,140265,166081,180212,145907,28679,116720,121548,121274,121444,123046,25884,115540,118289,108957,107905,107917,2795,1180,3259,12317,13539,15129,680,9926,37814,53771,82899,46890,8788,103627,98454,98929,83059,84064,9468,113553,136268,152700,165958,130954,-3440,555,738,1064,715,-176,287470,270402,276647,279730,286055,289558,289323,11.1078765,11.4283721,11.24072227,11.07868077,11.06030019,10.99557959,11.12194941,10.09907628,9.843590856,9.700391851,0.112296901,0.306422686,1.141645994,1.235089909,1.35990834,0.944626303,3.555405787,4.983960926,7.562428417,4.214825967,9.86185673,9.256992683,9.169594585,7.577024354,7.556304758,10.80648303,12.81239847,14.15355551,15.13945277,11.77113073
040,2,4,38,North Dakota,779136,779612,777977,780191,787071,793387,799358,476,-1635,2214,6880,6316,5971,2560,10010,9761,9729,9583,9760,1768,7831,7368,6936,6905,7130,792,2179,2393,2793,2678,2630,30,453,2554,3158,4083,2810,-447,-3878,-2744,930,-423,512,-417,-3425,-190,4088,3660,3322,101,-389,11,-1,-22,19,26239,26223,27821,28855,30056,30884,30876,12.85319812,12.52881589,12.41528219,12.12686449,12.25557136,10.05528416,9.457260064,8.851104665,8.737973423,8.953096698,2.797913956,3.071555827,3.564177527,3.388891068,3.302474659,0.581668206,3.278208768,4.029957978,5.166856696,3.52849954,-4.979490739,-3.52208491,1.186783065,-0.535287872,0.642915219,-4.397822532,-0.243876142,5.216741043,4.631568824,4.171414759
040,2,3,39,Ohio,11799445,11798534,11761443,11764950,11808390,11860621,11900510,-911,-37091,3507,43440,52231,39889,32332,128188,128825,128738,126625,126825,33790,146978,149201,131764,127985,127554,-1458,-18790,-20376,-3026,-1360,-729,518,9281,35678,47116,55855,28505,-2750,-32482,-6882,1045,-1339,11926,-2232,-23201,28796,48161,54516,40431,2779,4900,-4913,-1695,-925,187,299634,299586,263469,280558,290476,292229,294510,10.88184424,10.95153005,10.92233854,10.69964436,10.67499691,12.4769222,12.68371229,11.17906924,10.81456255,10.73635763,-1.595077958,-1.732182235,-0.256730697,-0.114918194,-0.061360716,0.78786155,3.033019129,3.99739706,4.719673332,2.399296566,-2.757388091,-0.58504506,0.088659477,-0.113143722,1.003824271,-1.969526541,2.447974069,4.086056537,4.60652961,3.403120836
040,3,7,40,Oklahoma,3959354,3965243,3992760,4025327,4062716,4097758,4123288,5889,27517,32567,37389,35042,25530,11614,47619,48353,48864,47829,48603,10355,50871,51596,45126,44917,46044,1259,-3252,-3243,3738,2912,2559,178,2179,11013,11204,18700,8420,3848,26921,25770,22671,13542,14492,4026,29100,36783,33875,32242,22912,604,1669,-973,-224,-112,59,117288,117223,117465,117195,117261,117257,117198,11.96757528,12.06098163,12.08302181,11.7221132,11.82404283,12.78486575,12.86990276,11.15869438,11.00842917,11.20149431,-0.817290468,-0.80892113,0.92432743,0.713684034,0.622548518,0.547624825,2.747039288,2.770509504,4.583067111,2.04840114,6.765767744,6.42796717,5.606053281,3.318924857,3.52558543,7.313392569,9.175006457,8.376562785,7.901991968,5.573986571
040,4,9,41,Oregon,4237282,4243544,4254691,4245964,4250392,4265324,4273586,6262,11147,-8727,4428,14932,8262,10277,39632,40461,38822,38840,38334,9543,41866,46314,43482,42526,42098,734,-2234,-5853,-4660,-3686,-3764,177,2610,6900,16833,20580,9636,5484,9670,-8946,-7370,-1736,2228,5661,12280,-2046,9463,18844,11864,-133,1101,-828,-375,-226,162,96917,95436,94281,103592,103344,104966,105802,9.327113218,9.519501733,9.138505967,9.121957567,8.978663553,9.852869449,10.89657209,10.23544682,9.987651068,9.860274906,-0.525756231,-1.377070355,-1.096940853,-0.865693501,-0.881611353,0.614245193,1.623404314,3.962404589,4.833416239,2.25696254,2.275766674,-2.104778985,-1.734861392,-0.407716744,0.521846465,2.890011867,-0.481374671,2.227543196,4.425699495,2.778809005
040,1,2,42,Pennsylvania,13002753,12995576,13016628,12984655,13009406,13045848,13059432,-7177,21052,-31973,24751,36442,13584,32886,130148,131590,129053,127537,126981,40353,155831,155234,141231,137190,137689,-7467,-25683,-23644,-12178,-9653,-10708,626,10199,37147,63364,58464,26921,-3544,28598,-40586,-24570,-11252,-2936,-2918,38797,-3439,38794,47212,23985,3208,7938,-4890,-1865,-1117,307,404182,404259,431266,432673,436442,438438,437653,10.00668763,10.12180822,9.929421955,9.789733771,9.728376788,11.98137613,11.94048771,10.86640522,10.53069757,10.54874723,-1.974688496,-1.818679486,-0.936983259,-0.740963799,-0.820370438,0.784170384,2.857320541,4.87526747,4.48769373,2.062494637,2.198814064,-3.121845949,-1.890431818,-0.86370296,-0.224935339,2.982984448,-0.264525408,2.984835652,3.62399077,1.837559298
040,1,1,44,Rhode Island,1097357,1096487,1097381,1098275,1101183,1110415,1114521,-870,894,894,2908,9232,4106,2544,10025,10449,10049,9908,10021,3379,11305,11068,10543,10299,10325,-835,-1280,-619,-494,-391,-304,77,1070,6948,6846,10063,5923,-394,405,-4992,-3254,-364,-1551,-317,1475,1956,3592,9699,4372,282,699,-443,-190,-76,38,45739,45794,44893,44545,44067,44041,44018,9.139109554,9.517884405,9.137705744,8.960037041,9.007899553,10.30599836,10.08172501,9.58690732,9.313627522,9.28116584,-1.166888801,-0.563840602,-0.449201576,-0.353590481,-0.273266287,0.975446107,6.328860259,6.225170019,9.100207181,5.324198089,0.36921091,-4.547160393,-2.958910786,-0.329173747,-1.394197406,1.344657017,1.781699866,3.266259233,8.771033434,3.930000683
040,3,5,45,South Carolina,5118250,5131992,5194346,5288957,5390798,5490316,5570274,13742,62354,94611,101841,99518,79958,13527,55879,57655,58198,58035,59681,14085,65049,64806,59063,58560,59117,-558,-9170,-7151,-865,-525,564,337,4026,15365,21668,32760,12930,14790,68406,83341,79536,66367,66622,15127,72432,98706,101204,99127,79552,-827,-908,3056,1502,916,-158,138433,136508,135263,140130,140384,140645,140698,10.82261689,10.9993959,10.89875189,10.66710633,10.79164855,12.59865792,12.36366058,11.06074063,10.7636038,10.68966484,-1.776041032,-1.364264679,-0.161988735,-0.096497473,0.10198371,0.779753675,2.931328037,4.057770988,6.02144229,2.338030792,13.24884001,15.89975984,14.89472371,12.19856717,12.0467353,14.02859368,18.83108787,18.9524947,18.22000946,14.38476609
040,2,4,46,South Dakota,886656,887808,896303,909156,917739,927110,935094,1152,8495,12853,8583,9371,7984,2841,11064,11244,11183,11309,11299,2054,9872,9282,8586,8687,8694,787,1192,1962,2597,2622,2605,64,1100,2380,1361,4754,3183,298,6178,8168,4514,1930,2169,362,7278,10548,5875,6684,5352,3,25,343,111,65,27,32137,32109,31997,32129,32216,32235,32194,12.40281574,12.45555839,12.24263026,12.26008199,12.13508295,11.06657602,10.28214986,9.399554983,9.417572929,9.337322871,1.33623973,2.173408535,2.843075273,2.842509062,2.797760074,1.233107133,2.636448682,1.48995974,5.153809336,3.418529871,6.925578061,9.048114635,4.941718052,2.092312162,2.329497735,8.158685194,11.68456332,6.431677792,7.246121498,5.748027606
040,3,6,47,Tennessee,6912319,6927736,6966687,7063325,7153029,7251291,7315076,15417,38951,96638,89704,98262,63785,19280,79603,82228,83201,83396,84408,18918,89394,91620,81142,80107,80811,362,-9791,-9392,2059,3289,3597,208,3111,20127,26129,47976,17990,14728,46401,82316,60397,46496,42389,14936,49512,102443,86526,94472,60379,119,-770,3587,1119,501,-191,158024,157971,136771,146250,149197,151295,153490,11.45826639,11.72172911,11.70497021,11.57930399,11.5894375,12.86760882,13.06057329,11.41530381,11.12263543,11.09556007,-1.409342439,-1.338844186,0.289666394,0.456668555,0.493877437,0.447805569,2.869135108,3.675907339,6.661334933,2.470073698,6.679082679,11.73427364,8.496833998,6.455841026,5.820119732,7.126888249,14.60340875,12.17274134,13.11717596,8.29019343
